artist_id,artist_name
artist_id,artist_name
12136078,葛东琪
12136042,光泽
2849,古巨基
1211046,GAI周延
2842,光良
12050057,G.G(张思源)
1008034,鬼卞
1044203,郭旭
12023517,宫阁
2852,郭富城
5311,苟瀚中
2868,关喆
13497197,高尔宣
168010,葛林
1177230,Gill Chang
12213153,梁根荣
2963,高安
13080288,关大洲
2922,郭德纲
13058582,跟风超人
2848,郭峰
2861,关楚耀
2863,高进
2874,顾峰
1124172,高文强
2853,关正杰
1041024,GNS耀耀
2870,甘仕良
12399037,国风Dom.T
2959,根呷
11974118,郭子睿
13973042,谷嘉诚
2892,高林生
27889345,官鸿
2947,国蛋
2987,郭一凡
12197292,高泰宇
2856,高枫
2862,龚一
2859,管平湖
2850,顾嘉辉
2844,古天乐
2994,尕让邓真
1049033,高铭
2846,高明骏
13228424,023 GC
3007,郭少杰
2851,郭子
12998047,郭思达
12931831,高火火
13497261,谷江山
27695695,国哥
1043146,光合唱片
12023557,高旗
2953,高鹏
2885,光头李进
2981,葛平
2867,哏德全
2875,郭浩男
1132850,顾稚蔚
820439,谷柏杉
12332258,郭麒麟
12475595,高晓攀
3042,高正洋
2962,格茸农布
2887,高向鹏
2847,郭伟亮
30315465,顾振遐
2979,格杰白玛
2928,高夫
2946,刮刮乐
2857,高凌风
2878,顾海滨
3020,过江龙
12370146,关力瑒
1137380,官云康
3029,高信
1053246,郭纯
2872,关德辉
2912,郭炳坚
2841,高晓松
187480,高英杰
2931,关峡
2911,郭颂
1049027,郭京飞
2969,关泽楠
2871,广智
975574,GrymeMan
2890,恭硕良
2945,歌浴森
30472245,郭力
12073830,葛笑
2899,关贵敏
12274269,高华阳
905095,嘎玛西周
2960,高韶青
908209,Gordon扬豆仔
13059434,GIGEL张津铭
3031,关栋天
861777,华晨宇
3066,胡彦斌
3064,胡歌
12065096,黄旭
3249,河图
1049179,Hanser
1177014,韩安旭
12598950,RA
3273,胡夏
3071,郝云
3063,黄义达
3348,回音哥
3073,黄凯芹
30471284,何野
3058,后弦
3415,霍尊
3079,黄品源
